feature,importance_fold_0,importance_fold_1,importance_fold_2,importance_fold_3,importance_fold_4,importance_mean,importance_std
accelerometer_Y_max,18325.019363784533,17680.871729212122,13987.468173071886,16814.980239576245,8984.032848643421,15158.474470857638,3828.4621894847955
accelerometer_Z_min,9867.437923530459,8865.35765672037,12514.055869425863,12526.929516694916,12028.086263821531,11160.37344603863,1687.5749516957324
accelerometer_Y_median,6124.950335128608,7022.570562233104,11193.925020473102,8028.772887395784,12539.445370713169,8981.932835188753,2759.4731506476437
accelerometer_Y_q75,4366.275277640342,5038.258824765399,9909.99800053104,5239.6707940629185,12771.609134751498,7465.16240635024,3693.9603852467144
accelerometer_Y_q25,10133.533549840275,6126.387724431791,5507.186961764364,3172.2895995218896,5491.373095028486,6086.154186117361,2527.967210710143
accelerometer_Y_mean,1663.6037623182217,4598.639138833192,100.8172808633808,7095.267234538449,363.075145147719,2764.2805123401927,3008.0571166181608
accelerometer_Y_min,3429.7646559026607,2259.3454255496217,3228.5834974790787,1.8481894265703431,1.359405744446848,1784.1802348204753,1686.3561648709647
accelerometer_Y_std,1715.4774717930754,1827.8807209122024,1730.2556801779137,1727.4601628079545,1711.2413921428088,1742.463085566791,48.40789800394911
accelerometer_Z_q25,1438.1005393114128,1727.5334284285673,768.8649383042357,1245.5907704447745,2720.299286249243,1580.0777925476466,726.6281068286652
accelerometer_Z_q75,1224.400424099728,1242.119140996656,1367.7689019882132,1499.6678992418238,1624.09083479302,1391.6094402238882,170.73283609616732
accelerometer_X_iqr,1439.9495224365392,2639.4996484376197,2.3007549163885415,1358.9364125784796,519.0234164083377,1191.941950955473,1006.588759463724
accelerometer_X_min,932.2979050143882,755.277405416211,820.0336279071687,924.2873680980292,696.988326154933,825.776926518146,103.2481204406561
accelerometer_Z_max,570.4736275553396,422.9702945326174,351.19257721885424,526.6233046860052,579.0278133616098,490.05752347088526,99.37767382494471
accelerometer_X_fft_max,41.81077595798706,195.45415091095492,15.69652637301624,353.68883430204005,1712.4008586241544,463.81022923363054,710.9869364926163
accelerometer_X_q25,406.50387986966604,327.59295896969627,306.4493937246457,307.93226693597376,439.99341231926246,357.69438236384883,61.57091452385554
accelerometer_X_q75,267.7542536374458,361.29959191966554,315.15982164267916,217.90392755160792,534.5942909149599,339.34237713327167,121.51376626651722
accelerometer_X_std,278.9625825582815,328.4714815956536,203.82183141482346,368.9473408537451,8.153512194017821,237.67134972330433,142.30885718937526
accelerometer_Z_median,217.01391601034354,273.6094758253764,122.67191612196939,274.3081483888305,200.32840157258192,217.58637158382035,62.5756886951509
accelerometer_Y_fft_mean,0.1877269575406899,81.1860786647303,0.22085709869861603,987.4243755101925,1.1803193856030703,214.03987152335304,433.74365150544355
magnitude_min,164.0496470026128,286.74363058016206,245.46763904002637,184.0375251603541,155.45123170687748,207.14993469800658,56.718553082854555
accelerometer_X_fft_mean,227.90123104077065,449.5252230191418,122.93713900387229,176.4645977232576,17.095094662547126,198.78465708991789,160.45305732996854
accelerometer_X_fft_std,126.16924754066713,374.1229279109393,56.80499533042894,60.29620861459989,82.11503596260445,139.90168307184794,133.8184955274105
accelerometer_X_mean,122.67512404373701,59.29700516851642,365.13498696767783,61.98919645916976,77.97886638203636,137.41503580422747,129.80541527945107
accelerometer_Z_fft_mean,88.35693390719825,99.63060012436472,88.62646833628241,189.57833861897234,210.08523645065725,135.255515487495,59.56789370017721
accelerometer_X_median,386.2694860181596,85.2864045725041,79.02125608978645,51.376592983519004,58.98613704949494,132.18797534269282,142.7172555196636
accelerometer_Y_skew,80.19901448695236,44.72431077316912,118.54538785388189,336.0007321445994,54.26255582024169,126.74640021576889,120.41887518970299
corr_XZ,87.56136060034623,182.33865827546788,90.85202345077778,113.47755067289108,113.11749897455502,117.4694183948076,38.229145059390234
accelerometer_Z_std,42.67285178911747,69.32963321088755,189.25851784134284,100.71760536555666,118.70914950664155,104.1375515427092,55.81018477187691
accelerometer_X_max,97.36071788333356,100.53979279473424,124.50483106513275,66.50313237682712,83.13978490862064,94.40965180572967,21.55104963052457
magnitude_std,32.0088467218884,110.93002477948903,113.77102141454816,118.94928939267993,0.5903572798706591,75.24990791769524,55.023678403907
